Date,Ret_m_Rf_dvdy
19/11/96,0.006871179
20/11/96,0.002330446
21/11/96,-0.001692912
22/11/96,0.007940315
25/11/96,0.010945928
26/11/96,-0.001493009
27/11/96,-0.001349326
29/11/96,0.002593368
02/12/96,-0.000694215
03/12/96,-0.011090917
04/12/96,-0.004345228
05/12/96,-0.001053097
06/12/96,-0.006528552
09/12/96,0.013557346
10/12/96,-0.003051738
11/12/96,-0.009237982
12/12/96,-0.015637361
13/12/96,-0.000991705
16/12/96,-0.010654789
17/12/96,0.006907354
18/12/96,0.007460437
19/12/96,0.01916562
20/12/96,0.004075196
23/12/96,-0.002693691
24/12/96,0.00540122
26/12/96,0.00627127
27/12/96,0.001196158
30/12/96,-0.003978753
31/12/96,-0.017630059
02/01/97,-0.005126781
03/01/97,0.014763067
06/01/97,-0.000586719
07/01/97,0.007357032
08/01/97,-0.006498261
09/01/97,0.00848952
10/01/97,0.006062718
13/01/97,-6.54E-05
14/01/97,0.012156795
15/01/97,-0.002239921
16/01/97,0.003239666
17/01/97,0.008227178
20/01/97,0.000604063
21/01/97,0.007642223
22/01/97,0.004395767
23/01/97,-0.011167118
24/01/97,-0.009173753
27/01/97,-0.007242216
28/01/97,-7.86E-05
29/01/97,0.009651423
30/01/97,0.014915221
31/01/97,0.002455906
03/02/97,0.000646208
04/02/97,0.003132139
05/02/97,-0.014087998
06/02/97,0.002321264
07/02/97,0.011911004
10/02/97,-0.005323078
11/02/97,0.005203946
12/02/97,0.016475832
13/02/97,0.011131796
14/02/97,-0.004201314
18/02/97,0.009535158
19/02/97,-0.004744645
20/02/97,-0.012076574
21/02/97,-0.001362375
24/02/97,0.010479512
25/02/97,0.002078836
26/02/97,-0.00792927
27/02/97,-0.013335045
28/02/97,-0.005438361
03/03/97,0.005579112
04/03/97,-0.005579674
05/03/97,0.013778886
06/03/97,-0.004368494
07/03/97,0.0079124
10/03/97,0.010642884
11/03/97,-0.002925563
12/03/97,-0.008847093
13/03/97,-0.018529257
14/03/97,0.004479257
17/03/97,0.003114802
18/03/97,-0.007714857
19/03/97,-0.005020755
20/03/97,-0.004060997
21/03/97,0.001768434
24/03/97,0.00853991
25/03/97,-0.002386337
26/03/97,0.001728141
27/03/97,-0.021331298
31/03/97,-0.021977545
01/04/97,0.00324432
02/04/97,-0.012703396
03/04/97,0.000201367
04/04/97,0.009973109
07/04/97,0.005487087
08/04/97,0.005143076
09/04/97,-0.007309827
10/04/97,-0.003054276
11/04/97,-0.027740961
14/04/97,0.008129967
15/04/97,0.01459016
16/04/97,0.011527092
17/04/97,-0.002386337
18/04/97,0.00590269
21/04/97,-0.007899402
22/04/97,0.018475925
23/04/97,-0.001331571
24/04/97,-0.00326345
25/04/97,-0.007641012
28/04/97,0.009789377
29/04/97,0.026840505
30/04/97,0.009060362
01/05/97,-0.003603022
02/05/97,0.017831363
05/05/97,0.020990602
06/05/97,-0.003141978
07/05/97,-0.014864951
08/05/97,0.005582585
09/05/97,0.005405108
12/05/97,0.015405303
13/05/97,-0.005512796
14/05/97,0.003396498
15/05/97,0.006870824
16/05/97,-0.014603278
19/05/97,0.004143057
20/05/97,0.009928121
21/05/97,-0.002838582
22/05/97,-0.004496191
23/05/97,0.013424112
27/05/97,0.003068757
28/05/97,-0.003036753
29/05/97,-0.003791563
30/05/97,0.004873271
02/06/97,-0.002336814
03/06/97,-0.001111087
04/06/97,-0.006442465
05/06/97,0.003873292
06/06/97,0.01706807
09/06/97,0.005623808
10/06/97,0.00266046
11/06/97,0.004886431
12/06/97,0.015776403
13/06/97,0.010972075
16/06/97,0.000634236
17/06/97,0.000510712
18/06/97,-0.006081515
19/06/97,0.009923405
20/06/97,0.000719573
23/06/97,-0.022667592
24/06/97,0.019896553
25/06/97,-0.008304653
26/06/97,-0.006061771
27/06/97,0.004017339
30/06/97,-0.002508082
01/07/97,0.006557598
02/07/97,0.014409759
03/07/97,0.014082942
07/07/97,-0.005235621
08/07/97,0.007080084
09/07/97,-0.012351122
